;storm_code;shear_kt;sst_c;rh_pct;heat_content;storm_bearing_deg;storm_motion_kt;lat_hurdat2;lon_hurdat2;lat_s;lon_s
0;AL022023;13;28.7;80;39;295;6;21;-93.9;21.2;-93.8
1;AL022023;11;28.7;76;40;300;7;21.2;-94.5;21.7;-94.6
2;AL022023;9;28.6;75;42;285;7;21.3;-95.3;21.3;-95.3
3;AL022023;6;28.6;80;41;270;6;21.4;-95.6;21.1;-95.8
4;AL022023;9;28.5;83;40;280;3;21.6;-96.1;21.4;-95.8
5;AL022023;10;28.2;77;7;280;5;21.6;-97;21.6;-97
6;AL022023;12;28.2;78;0;270;7;21.6;-97.3;21.6;-97.5
7;AL022023;11;28.2;82;27;265;6;21.5;-98.1;21.5;-98.1
8;AL022023;11;28.4;80;0;250;7;21.1;-98.7;21.1;-98.7
9;AL032023;10;27.8;58;18;150;2;27.5;-78.1;27.5;-78.1
10;AL032023;10;28;56;4;160;4;27.1;-78;27.1;-78
11;AL032023;11;28.4;54;19;45;4;27.4;-77.5;27.4;-77.5
12;AL032023;9;28.1;50;16;30;6;27.8;-77.1;28.1;-77.2
13;AL032023;12;28;49;15;30;6;28.4;-76.8;28.5;-76.8
14;AL032023;18;27.8;44;14;15;6;29;-76.6;29;-76.7
15;AL032023;28;27.7;46;12;30;6;29.5;-76.2;29.6;-76.1
16;AL032023;30;27.6;43;17;30;6;30;-75.8;30.1;-75.8
17;AL032023;29;27.6;50;15;40;6;30.5;-75.3;30.4;-75.3
18;AL032023;30;27.5;52;15;50;6;30.9;-74.7;30.8;-74.7
19;AL032023;29;27.4;51;17;45;8;31.4;-74.1;31.4;-74.1
20;AL032023;24;27.3;49;18;50;7;31.9;-73.4;31.6;-73.5
21;AL032023;33;27;47;8;50;8;32.4;-72.7;32.5;-72.6
22;AL032023;32;26.8;47;7;50;8;33;-72;32.9;-72.1
23;AL032023;42;26.6;46;5;55;8;33.5;-71.2;33.5;-71.1
24;AL032023;37;26.4;46;5;60;9;34.1;-70.1;33.9;-70.2
25;AL032023;46;26.5;45;9;50;11;35.1;-68.9;35.1;-68.9
26;AL032023;37;26.9;46;9;45;16;36.2;-67.4;36.2;-67.4
27;AL032023;35;26.6;45;7;55;18;37.3;-65.2;37.2;-65.2
28;AL042023;29;26.3;54;1;55;22;34.5;-54.7;34.5;-54.7
29;AL042023;25;25.7;53;0;55;21;35.8;-52.5;35.6;-52.5
30;AL042023;18;24.7;48;0;50;23;37.4;-50.5;37.5;-50.1
31;AL042023;14;23.3;44;0;40;25;39.4;-48.4;39.4;-48.4
32;AL042023;9;21.6;44;0;40;24;41.3;-46.1;41.4;-46.2
33;AL042023;22;19.9;50;0;50;23;43.8;-41.2;43.7;-41.2
34;AL042023;25;19;53;0;60;23;45.1;-38.6;44.9;-38.4
35;AL042023;27;16.8;55;0;55;24;46.7;-35.6;46.3;-35.7
36;AL042023;24;14.5;56;0;50;25;48.4;-32.1;48.3;-32.9
37;AL052023;5;28.6;61;3;295;9;22;-86.7;22.3;-87
38;AL052023;1;28.5;61;9;300;8;22.3;-87.4;22.5;-87.6
39;AL052023;8;28.4;60;9;300;9;22.9;-88.4;22.8;-88.3
40;AL052023;11;28.9;63;28;305;11;23.7;-89.5;23.7;-89.5
41;AL052023;14;29.3;58;25;305;14;24.2;-90.7;24.5;-90.7
42;AL052023;10;29.2;55;35;300;13;24.6;-91.9;24.6;-91.9
43;AL052023;15;29.2;52;58;295;12;25.1;-93.1;25.1;-93
44;AL052023;17;28.8;58;42;300;12;25.8;-94.3;25.8;-94.3
45;AL052023;14;28.3;59;34;300;14;26.4;-95.5;26.5;-95.6
46;AL052023;9;27.7;55;2;300;14;27;-96.9;27.1;-97
47;AL052023;14;27.8;50;0;300;13;27.8;-98.1;27.7;-98.1
48;AL072023;6;28.8;54;72;275;17;14.9;-61.4;15.3;-62.2
49;AL072023;2;28.9;53;81;275;16;15.1;-62.5;15.5;-63.6
50;AL072023;4;28.9;53;81;275;11;15.4;-63.6;15.4;-63.7
51;AL072023;6;29;56;77;275;8;15.7;-64.8;15.6;-64.8
52;AL072023;7;29;59;76;285;12;16;-66.2;16;-66.2
53;AL072023;16;28.9;58;82;285;12;16.3;-67.7;16.3;-67.5
54;AL072023;12;28.8;60;99;280;12;16.6;-69.1;16.6;-68.9
55;AL072023;15;28.8;61;94;280;13;16.8;-70.3;16.8;-70.3
56;AL072023;16;28.9;60;89;280;8;16.9;-70.7;16.9;-70.7
57;AL072023;17;28.9;59;87;280;4;16.9;-71.3;17;-71.2
58;AL072023;20;28.8;65;86;280;5;17.3;-72.2;17.2;-71.7
59;AL072023;16;28.9;62;98;300;8;17.9;-73.4;18;-72.8
60;AL072023;13;29;64;76;325;11;18.8;-74.6;19.6;-73.2
61;AL072023;23;29.1;65;69;345;14;19.8;-75.5;20.9;-73.9
62;AL072023;16;29.5;56;78;325;16;21;-76.3;22;-76.5
63;AL072023;9;29.8;58;69;310;15;22.4;-76.9;23;-78
64;AL072023;8;29.7;57;59;315;6;23.6;-77.4;22.8;-77.2
65;AL072023;11;29.9;57;22;335;10;24.6;-77.9;24.6;-77.9
66;AL072023;14;29.8;57;6;340;10;25.6;-78.1;25.6;-78
67;AL072023;18;29.8;56;20;0;6;26.4;-78.2;26;-78
68;AL072023;15;29.4;59;8;0;7;27.2;-78.1;27.1;-78.2
69;AL072023;19;29.1;55;42;5;8;28.4;-77.4;28;-77.8
70;AL072023;27;28.6;59;29;30;15;29.7;-76.4;29.7;-76.6
71;AL072023;20;28.3;56;30;55;14;30.7;-74.8;30.6;-75.1
72;AL082023;15;26.6;48;4;65;19;36.6;-63;36.1;-62.3
73;AL082023;21;26.4;43;0;58;17;37.6;-61.1;37.3;-61.2
74;AL082023;35;26;43;0;55;19;38.6;-59;38.6;-58.9
75;AL082023;28;25.2;43;0;55;19;39.6;-56.3;39.4;-56.7
76;AL082023;28;24.7;42;0;65;23;40.2;-53.2;40.2;-53.3
77;AL062023;12;28.8;60;32;290;9;27.5;-61.5;27.7;-61.2
78;AL062023;10;28.8;59;30;300;9;27.7;-62.3;28.2;-62.1
79;AL062023;6;28.9;57;30;285;6;28.1;-62.9;28.1;-62.9
80;AL062023;6;28.8;56;29;325;6;28.8;-63.1;28.6;-63.1
81;AL062023;4;28.5;59;24;345;8;29.6;-63.3;29.5;-63.2
82;AL062023;11;27.9;57;8;355;12;30.6;-63.4;30.9;-63.4
83;AL062023;10;27.9;57;8;0;9;31.6;-63.2;31.5;-63.3
84;AL062023;9;27.6;62;9;15;10;32.9;-62.7;32.6;-63
85;AL062023;15;27.2;64;5;25;13;34.2;-61.6;33.9;-62.2
86;AL062023;21;26.5;63;0;30;15;35.6;-60.3;35.5;-60.6
87;AL062023;16;25.8;61;0;40;23;37.1;-58.1;37.3;-58.5
88;AL062023;13;25;59;0;50;25;38.6;-55.8;38.6;-55.9
89;AL092017;12;29.2;65;4;270;11;15.7;-82.7;15.5;-82.8
90;AL092017;9;29.2;67;7;275;10;15.9;-83.4;16;-83.3
91;AL092017;10;29.4;65;69;290;10;16;-84.1;16.4;-84.3
92;AL092017;7;29.4;71;16;275;7;16.1;-84.9;16.1;-84.7
